date,av_factor,hits,hour,weekday
7/31/2013 0:00,0,0,0,2
7/31/2013 1:00,0,0,1,2
7/31/2013 2:00,0,0,2,2
7/31/2013 3:00,0,0,3,2
7/31/2013 4:00,0,0,4,2
7/31/2013 5:00,0,0,5,2
7/31/2013 6:00,0,0,6,2
7/31/2013 7:00,0,0,7,2
7/31/2013 8:00,0,0,8,2
7/31/2013 9:00,0,0,9,2
7/31/2013 10:00,0,0,10,2
7/31/2013 11:00,0,0,11,2
7/31/2013 12:00,0,0,12,2
7/31/2013 13:00,0,0,13,2
7/31/2013 14:00,0,0,14,2
7/31/2013 15:00,0,9,15,2
7/31/2013 16:00,0,24,16,2
7/31/2013 17:00,0,12,17,2
7/31/2013 18:00,0,9,18,2
7/31/2013 19:00,0,16,19,2
7/31/2013 20:00,0,18,20,2
7/31/2013 21:00,0,14,21,2
7/31/2013 22:00,0,4,22,2
7/31/2013 23:00,0,6,23,2
8/1/2013 0:00,0,1,0,3
8/1/2013 1:00,0,2,1,3
8/1/2013 2:00,0,3,2,3
8/1/2013 3:00,0,0,3,3
8/1/2013 4:00,0,2,4,3
8/1/2013 5:00,0,1,5,3
8/1/2013 6:00,0,0,6,3
8/1/2013 7:00,0,10,7,3
8/1/2013 8:00,0,20,8,3
8/1/2013 9:00,0,22,9,3
8/1/2013 10:00,0,29,10,3
8/1/2013 11:00,0,33,11,3
8/1/2013 12:00,0,9,12,3
8/1/2013 13:00,0,17,13,3
8/1/2013 14:00,0,27,14,3
8/1/2013 15:00,0,22,15,3
8/1/2013 16:00,0,27,16,3
8/1/2013 17:00,0,23,17,3
8/1/2013 18:00,0,18,18,3
8/1/2013 19:00,0,22,19,3
8/1/2013 20:00,0,13,20,3
8/1/2013 21:00,0,11,21,3
8/1/2013 22:00,0,13,22,3
8/1/2013 23:00,0,10,23,3
8/2/2013 0:00,0,3,0,4
8/2/2013 1:00,0,3,1,4
8/2/2013 2:00,0,1,2,4
8/2/2013 3:00,0,0,3,4
8/2/2013 4:00,0,0,4,4
8/2/2013 5:00,0,0,5,4
8/2/2013 6:00,0,0,6,4
8/2/2013 7:00,0,5,7,4
8/2/2013 8:00,0,11,8,4
8/2/2013 9:00,0,11,9,4
8/2/2013 10:00,0,13,10,4
8/2/2013 11:00,0,9,11,4
8/2/2013 12:00,0,5,12,4
8/2/2013 13:00,0,10,13,4
8/2/2013 14:00,0,10,14,4
8/2/2013 15:00,0,6,15,4
8/2/2013 16:00,0,14,16,4
8/2/2013 17:00,0,8,17,4
8/2/2013 18:00,0,10,18,4
8/2/2013 19:00,0,10,19,4
8/2/2013 20:00,0,5,20,4
8/2/2013 21:00,0,10,21,4
8/2/2013 22:00,0,4,22,4
8/2/2013 23:00,0,5,23,4
8/3/2013 0:00,0,4,0,5
8/3/2013 1:00,0,1,1,5
8/3/2013 2:00,0,1,2,5
8/3/2013 3:00,0,0,3,5
8/3/2013 4:00,0,0,4,5
8/3/2013 5:00,0,0,5,5
8/3/2013 6:00,0,1,6,5
8/3/2013 7:00,0,0,7,5
8/3/2013 8:00,0,1,8,5
8/3/2013 9:00,0,4,9,5
8/3/2013 10:00,0,4,10,5
8/3/2013 11:00,0,4,11,5
8/3/2013 12:00,0,6,12,5
8/3/2013 13:00,0,3,13,5
8/3/2013 14:00,0,2,14,5
8/3/2013 15:00,0,6,15,5
8/3/2013 16:00,0,7,16,5
8/3/2013 17:00,0,4,17,5
8/3/2013 18:00,0,2,18,5
8/3/2013 19:00,0,5,19,5
8/3/2013 20:00,0,5,20,5
8/3/2013 21:00,0,1,21,5
8/3/2013 22:00,0,3,22,5
8/3/2013 23:00,0,5,23,5
8/4/2013 0:00,0,0,0,6
8/4/2013 1:00,0,0,1,6
8/4/2013 2:00,0,0,2,6
8/4/2013 3:00,0,0,3,6
8/4/2013 4:00,0,1,4,6
8/4/2013 5:00,0,0,5,6
8/4/2013 6:00,0,0,6,6
8/4/2013 7:00,0,0,7,6
8/4/2013 8:00,0,2,8,6
8/4/2013 9:00,0,5,9,6
8/4/2013 10:00,0,2,10,6
8/4/2013 11:00,0,3,11,6
8/4/2013 12:00,0,6,12,6
8/4/2013 13:00,0,6,13,6
8/4/2013 14:00,0,8,14,6
8/4/2013 15:00,0,8,15,6
8/4/2013 16:00,0,7,16,6
8/4/2013 17:00,0,8,17,6
8/4/2013 18:00,0,4,18,6
8/4/2013 19:00,0,4,19,6
8/4/2013 20:00,0,5,20,6
8/4/2013 21:00,0,6,21,6
8/4/2013 22:00,0,4,22,6
8/4/2013 23:00,0,3,23,6
8/5/2013 0:00,0,3,0,0
